TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
20-08-2022,24.5,33.2,28.4,64,8888,10,6,70,3,SE
21-08-2022,25,33.2,28.3,69,0.6,10.6,7,90,3,E 
22-08-2022,25,33.2,28.4,66,8888,7.9,5,340,3,E 
23-08-2022,24,33.6,28.3,69,0,8.4,6,110,2,E 
24-08-2022,24.6,33.5,28.8,63,8888,10.5,6,90,3,E 
25-08-2022,24.2,33.6,28.7,58,0,10.2,6,120,2,E 
26-08-2022,25,34.3,28.8,66,0,10,6,40,3,E 
27-08-2022,24.4,34,28.7,68,9999,9.6,6,50,3,E 
28-08-2022,24.1,32,27.8,70,7.4,9.2,4,340,1,C 
29-08-2022,24,33.6,28.1,64,9999,2.7,5,31,2,E 
30-08-2022,24.2,32.8,27.9,74,0,7.2,7,310,3,NW
31-08-2022,24.7,32.2,28.1,78,4.8,8.8,6,20,2,E 
01-09-2022,25.4,34.1,29.8,64,0.2,6,7,70,3,SE
02-09-2022,25.4,34,29,69,8888,7,6,90,3,E 
03-09-2022,25.2,33.4,29,72,0,10.6,5,320,2,C 
04-09-2022,25.2,32.9,28.6,69,0,7.5,4,20,2,NW
05-09-2022,25.4,32.5,28.2,72,0,7,5,330,2,E 
06-09-2022,25.1,33.8,28.7,76,3.9,3.5,6,360,3,SE
07-09-2022,25.8,34.6,29.5,70,9999,10,7,360,3,N 
08-09-2022,24.5,31.3,27.3,78,22,9.2,5,350,2,C 
09-09-2022,25.1,31.6,28.1,76,8888,1.7,5,20,2,N 
10-09-2022,24,32,27.3,78,24.4,6.8,6,320,2,NW
11-09-2022,23.6,33,27.8,76,34.3,7.8,6,360,2,SE
12-09-2022,23.9,33,29.2,70,5.3,9.5,6,300,3,E 
13-09-2022,24.2,32.7,28.8,74,9999,11,8,150,3,C 
14-09-2022,24,32.8,28.1,72,1.5,10.5,6,300,2,NW
15-09-2022,24.2,34,28.7,72,9999,10.3,6,300,2,NW
16-09-2022,23.4,9999,28.9,70,11.4,10.3,6,80,3,SE
17-09-2022,23.8,35.4,29,66,7.6,8,6,110,2,C 
18-09-2022,24.6,36,29.4,66,0,10.6,5,350,2,E 
19-09-2022,24,32.8,28.5,67,9999,10.5,5,330,3,NW
20-09-2022,24.2,34.1,28.7,70,2.3,10.3,6,100,2,E 
21-09-2022,25.1,32.7,28.3,72,9999,4.7,5,330,2,E 
22-09-2022,25,34.8,28.4,75,8888,4.7,5,140,2,C 
23-09-2022,24.5,34.6,29.2,72,4.4,7.5,5,330,2,NW
24-09-2022,24.7,34.8,28.9,70,8888,8.2,4,10,2,C 
25-09-2022,24,35.6,29.9,61,0,8.1,6,90,3,E 
26-09-2022,24.1,33.9,29.4,67,0,10.5,5,310,2,W 
27-09-2022,24.4,35.6,29.3,63,9999,8.6,5,80,2,C 
28-09-2022,24.8,35.6,29.4,65,9999,8.9,5,100,2,E 
29-09-2022,25.8,34.5,29.6,65,0,9.4,6,340,3,E 
30-09-2022,26,33,29.2,67,8888,8.7,6,110,2,E 
01-10-2022,25.2,33.6,29,70,0,5.7,6,360,3,SE
02-10-2022,26,32.4,28.6,75,9999,8.5,5,20,2,C 
03-10-2022,25.5,32.8,28.6,74,0,4.8,5,270,2,E 
04-10-2022,25.4,32.2,28.2,75,0,6,5,290,1,C 
05-10-2022,25.8,32,27.8,75,0,3.2,6,310,2,E 
06-10-2022,24.5,32.8,27,80,31.4,5.2,6,200,2,E 
07-10-2022,23.6,32.2,27.4,78,23.2,3.2,7,310,2,C 
08-10-2022,24,33.1,27.4,81,0.6,7.5,7,290,2,S 
09-10-2022,23.6,32.2,26.8,82,23.8,5.6,5,340,2,NW
